original_name,canonical_name,canonical_id,country,match_type,confidence,processing_time_ms
"university of cambridge","University of Cambridge","canonical-0090","UK",canonical,1,
"harvard university","Harvard University","canonical-0087","USA",canonical,1,
"stanford university","Stanford University","canonical-0088","USA",canonical,1,
"eth zurich","ETH Zurich","canonical-0047","Unknown",canonical,1,
"university of chicago","University of Chicago","canonical-0098","USA",canonical,1,
"california institute of technology","California Institute of Technology","canonical-0003","Unknown",canonical,1,
"university of melbourne","University of Melbourne","canonical-0106","Australia",canonical,1,
"university of hong kong","University of Hong Kong","canonical-0113","Hong Kong",canonical,1,
"national university of singapore","National University of Singapore","canonical-0105","Singapore",canonical,1,
"university of toronto","University of Toronto","canonical-0103","Canada",canonical,1,
"chinese university of hong kong","Chinese University of Hong Kong","canonical-0122","Hong Kong",canonical,1,
"australian national university","Australian National University","canonical-0130","Australia",canonical,1,
"yale university","Yale University","canonical-0093","USA",canonical,1,
